School Name,City,Rank,Latitude,Longitude
Porter Creek Secondary,Whitehorse,1,60.769944,-135.124150
Robert Service School,Dawson City,2,64.060498,-139.431095
Vanier Catholic Secondary,Whitehorse,3,60.702157,-135.029920
F.H. Collins Secondary,Whitehorse,4,60.711526,-135.040348
Watson Lake Secondary,Watson Lake,5,60.065781,-128.716887
Tantalus School,Carmacks,6,62.088736,-136.287375
St. Elias Community School,Haines Junction,7,60.756424,-137.507834
École Émilie-Tremblay,Whitehorse,8,60.707027,-135.109696
Del Van Gorder School,Faro,9,62.226967,-133.352100
J.V. Clark School,Mayo,10,63.597047,-135.896575
Eliza Van Bibber School,Pelly Crossing,11,62.823867,-136.572846
